Usuario,contrasenia,tipo
admin1,admin123,ADMINISTRADOR
admin2,admin456,ADMINISTRADOR
admin3,admin789,ADMINISTRADOR
admin4,adminabc,ADMINISTRADOR
admin5,admindef,ADMINISTRADOR
admin6,adminghi,ADMINISTRADOR
admin7,adminjkl,ADMINISTRADOR
cliente1,cliente123,CLIENTE
cliente2,cliente456,CLIENTE
cliente3,cliente789,CLIENTE
cliente4,clienteabc,CLIENTE
cliente5,clientedef,CLIENTE
cliente6,clienteghi,CLIENTE
cliente7,clientejkl,CLIENTE
proveedor1,proveedor123,PROVEEDOR
proveedor2,proveedor456,PROVEEDOR
proveedor3,proveedor789,PROVEEDOR
proveedor4,proveedorabc,PROVEEDOR
proveedor5,proveedordef,PROVEEDOR
proveedor6,proveedorghi,PROVEEDOR
